hour,change
0,0.026144730722319365
1,0.062457433858592135
2,0.09523247648294153
3,0.12154197938511399
4,0.14272349835600728
5,0.16721533181141024
6,0.19958470261948813
7,0.25112451729040847
8,0.3142160863191484
9,0.3677261766609195
10,0.4157811398369776
11,0.4612405889592183
12,0.5135368130395683
13,0.5918201962732546
14,0.6597829686278689
15,0.7430864894113679
16,0.7960550670270199
17,0.8403263943746749
18,0.8821558334700372
19,0.9218201998517344
20,0.9510061551079707
21,0.9694522294578813
22,0.9823853964535589
23,1.0
